batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Virandeep Singh,23,23,2,1,100.0,Sompal Kami,4.0,24.0,2.0,0.0,2.0,6.0
Syed Aziz,50,37,7,1,135.13513513513513,Karan KC,3.0,29.0,1.0,0.0,1.0,9.666666666666666
Ahmed Faiz Mohammad Noor,17,17,0,1,100.0,P Sarraf,2.0,15.0,0.0,0.0,0.0,7.5
Shafiq Sharif,10,9,2,0,111.11111111111111,S Lamichhane,4.0,38.0,2.0,0.0,0.0,9.5
Anwar Arudin,7,4,0,1,175.0,LN Rajbanshi,1.0,9.0,0.0,0.0,0.0,9.0
Aminuddin Ramly,24,11,0,3,218.18181818181816,A Bohara,4.0,25.0,1.0,0.0,0.0,6.25
M Syahadat Ramli,21,11,2,1,190.9090909090909,P Khadka,2.0,23.0,1.0,0.0,0.0,11.5
S Muniandy,9,7,0,1,128.57142857142858,,,,,,,
Fitri Sham,0,1,0,0,0.0,,,,,,,
