batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
J Leach,1.0,2.0,0.0,0.0,50.0,RJW Topley,3,25,1,0,1,8.333333333333334
MH Wessels,47.0,46.0,4.0,0.0,102.17391304347827,OE Robinson,3,24,1,2,0,7.333333333333333
MM Ali,121.0,60.0,8.0,11.0,201.66666666666666,CJ Jordan,3,27,0,0,1,9.0
,,,,,,D Wiese,2,26,0,0,0,13.0
,,,,,,WAT Beer,3,40,0,0,0,13.333333333333334
,,,,,,DR Briggs,3,26,0,2,0,8.0
,,,,,,DMW Rawlins,1,8,0,0,1,8.0
