batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
TP Visee,68.0,43.0,9.0,3.0,158.13953488372093,KD Shah,4,25,1,0,0,6.25
MP O'Dowd,10.0,8.0,2.0,0.0,125.0,K Christie,3,39,0,0,0,13.0
RE van der Merwe,50.0,34.0,4.0,2.0,147.05882352941177,Haroon Arshad,2,31,0,0,0,15.5
CN Ackermann,9.0,10.0,0.0,0.0,90.0,Mohammad Ghazanfar,2,15,0,0,0,7.5
PM Seelaar,2.0,4.0,0.0,0.0,50.0,Nizakat Khan,1,14,0,0,0,14.0
SA Edwards,42.0,21.0,4.0,2.0,200.0,Ehsan Khan,4,34,0,0,2,8.5
,,,,,,Raag Kapur,4,26,1,0,1,6.5
