batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RR Hendricks,5,9,1,0,55.55555555555556,Faheem Ashraf,7.0,32.0,0.0,0.0,0.0,4.571428571428571
HM Amla,8,5,2,0,160.0,Shaheen Shah Afridi,9.0,44.0,3.0,0.0,2.0,4.888888888888889
HE van der Dussen,80,123,9,0,65.04065040650406,Mohammad Hafeez,6.0,36.0,0.0,0.0,0.0,6.0
F du Plessis,8,8,2,0,100.0,Hasan Ali,8.0,31.0,0.0,0.0,0.0,3.875
DA Miller,31,26,5,0,119.23076923076923,Shadab Khan,10.0,46.0,2.0,0.0,0.0,4.6
H Klaasen,0,1,0,0,0.0,Hussain Talat,2.0,16.0,0.0,0.0,2.0,8.0
AL Phehlukwayo,69,80,7,2,86.25,,,,,,,
