batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CA Lynn,10,10,2,0,100.0,Mohammed Shami,4,44,1,1,0,10.75
SP Narine,24,9,1,3,266.66666666666663,CV Varun,3,35,1,0,0,11.666666666666666
RV Uthappa,67,50,6,2,134.0,GC Viljoen,4,36,1,0,2,9.0
N Rana,63,34,2,7,185.29411764705884,AJ Tye,4,37,1,0,0,9.25
AD Russell,48,17,3,5,282.3529411764706,R Ashwin,4,47,0,0,1,11.75
KD Karthik,1,1,0,0,100.0,Mandeep Singh,1,18,0,0,0,18.0
