batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DJ Bell-Drummond,25,27,2,0,92.5925925925926,TG Helm,4,45,1,2,0,10.75
Z Crawley,30,15,2,2,200.0,Mujeeb Ur Rahman,4,25,0,0,9,6.25
OG Robinson,7,10,1,0,70.0,TS Roland-Jones,3,47,0,0,0,15.666666666666666
HG Kuhn,54,31,3,2,174.19354838709677,ST Finn,4,40,2,0,0,10.0
Mohammad Nabi,7,9,0,0,77.77777777777779,NA Sowter,3,22,1,0,2,7.333333333333333
AJ Blake,66,29,5,5,227.58620689655174,PR Stirling,2,23,0,0,0,11.5
