batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
LM Reece,51.0,39.0,6.0,1.0,130.76923076923077,DY Pennington,2,15,0,0,0,7.5
BA Godleman,92.0,67.0,10.0,1.0,137.3134328358209,WD Parnell,4,43,0,0,0,10.75
WL Madsen,18.0,12.0,1.0,1.0,150.0,PR Brown,4,35,1,0,0,8.75
JL du Plooy,10.0,3.0,2.0,0.0,333.33333333333337,EG Barnard,4,39,0,2,0,9.25
,,,,,,DKH Mitchell,4,23,1,0,1,5.75
,,,,,,MJ Guptill,1,9,0,0,0,9.0
,,,,,,J Leach,1,16,0,0,6,16.0
