batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,11.0,14.0,2.0,0.0,78.57142857142857,Bilal Khan,4,46,1,0,0,11.5
KJ O'Brien,41.0,28.0,4.0,1.0,146.42857142857142,Aamir Kaleem,2,21,0,0,0,10.5
GJ Delany,89.0,49.0,9.0,3.0,181.6326530612245,Fayyaz Butt,4,35,0,0,2,8.75
HT Tector,28.0,20.0,1.0,2.0,140.0,Mohammad Nadeem,4,29,1,0,0,7.25
MR Adair,11.0,9.0,0.0,0.0,122.22222222222223,Khawar Ali,4,28,1,0,0,7.0
,,,,,,Zeeshan Maqsood,2,23,0,0,0,11.5
