batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
MJ Guptill,5,4,0,0,125.0,Mohammad Hafeez,7.0,22.0,0.0,0.0,0.0,3.142857142857143
C Munro,12,17,2,0,70.58823529411765,Mohammad Amir,10.0,67.0,1.0,0.0,2.0,6.7
KS Williamson,41,69,4,0,59.42028985507246,Shaheen Shah Afridi,10.0,28.0,3.0,0.0,0.0,2.8
LRPL Taylor,3,8,0,0,37.5,Imad Wasim,3.0,17.0,0.0,0.0,0.0,5.666666666666667
TWM Latham,1,14,0,0,7.142857142857142,Shadab Khan,10.0,43.0,1.0,0.0,0.0,4.3
JDS Neesham,97,112,5,3,86.60714285714286,Wahab Riaz,10.0,55.0,0.0,0.0,2.0,5.5
C de Grandhomme,64,71,6,1,90.14084507042254,,,,,,,
MJ Santner,5,5,0,0,100.0,,,,,,,
