batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
PR Stirling,58.0,37.0,5.0,2.0,156.75675675675674,EJB Miles,2,18,0,0,0,9.0
KJ O'Brien,11.0,13.0,1.0,0.0,84.61538461538461,CW Perchard,3,16,1,0,0,5.333333333333333
A Balbirnie,33.0,27.0,4.0,0.0,122.22222222222223,DG Blampied,4,31,1,0,0,7.75
GJ Delany,8.0,7.0,0.0,0.0,114.28571428571428,B Ward,3,24,0,0,0,8.0
,,,,,,BDH Stevens,1,10,0,0,0,10.0
,,,,,,AW Hawkins-Kay,1,11,0,0,0,11.0
