batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
CS Delport,129,49,7,14,263.265306122449,JW Dernbach,3,21,1,0,1,7.0
V Chopra,7,5,1,0,140.0,SM Curran,2,28,1,0,2,14.0
T Westley,9,9,1,0,100.0,TK Curran,3,63,0,2,0,20.333333333333332
RN ten Doeschate,6,7,0,0,85.71428571428571,GJ Batty,3,38,2,0,1,12.666666666666666
DW Lawrence,57,22,2,6,259.09090909090907,R Clarke,2,34,0,5,2,14.5
RS Bopara,1,1,0,0,100.0,Imran Tahir,2,39,0,0,1,19.5
