batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
Mohammad Hafeez,6,14,1,0,42.857142857142854,Shakib Al Hasan,4.0,14.0,1.0,0.0,0.0,3.5
E Lewis,19,20,2,0,95.0,JO Holder,3.0,16.0,1.0,0.0,0.0,5.333333333333333
SSJ Brooks,53,33,6,2,160.6060606060606,CK Holder,2.0,23.0,0.0,0.0,0.0,11.5
LJ Evans,5,9,0,0,55.55555555555556,HR Walsh,4.0,37.0,2.0,0.0,1.0,9.25
DC Thomas,20,16,1,1,125.0,HF Gurney,4.0,23.0,2.0,0.0,0.0,5.75
CR Brathwaite,7,5,1,0,140.0,RA Reifer,3.0,33.0,1.0,0.0,2.0,11.0
KJ Cottoy,13,10,1,1,130.0,,,,,,,
FA Allen,20,13,1,1,153.84615384615387,,,,,,,
