batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
RA Thomas,11,14,0,1,78.57142857142857,SN Netravalkar,3.0,20.0,1.0,0.0,0.0,6.666666666666667
Rizwan Cheema,10,7,0,1,142.85714285714286,K Gore,4.0,24.0,0.0,0.0,0.0,6.0
NS Dhaliwal,54,41,3,3,131.70731707317074,CJ Gannon,4.0,38.0,1.0,1.0,0.0,9.25
NR Kumar,14,10,1,1,140.0,HR Walsh,2.0,21.0,0.0,0.0,0.0,10.5
Saad Bin Zafar,20,19,1,1,105.26315789473684,TK Patel,4.0,27.0,4.0,0.0,0.0,6.75
Ravinderpal Singh,0,4,0,0,0.0,Steven Ryan Taylor,2.0,14.0,0.0,0.0,0.0,7.0
Hamza Tariq,11,10,1,0,110.00000000000001,,,,,,,
D Heyliger,23,11,1,2,209.0909090909091,,,,,,,
