batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
ADS Fletcher,9.0,6.0,2.0,0.0,150.0,AJ Hosein,2,16,0,0,2,8.0
JD Campbell,6.0,10.0,0.0,0.0,60.0,Ali Khan,2,18,1,0,0,9.0
CA Ingram,52.0,34.0,5.0,2.0,152.94117647058823,JDS Neesham,1,10,1,0,0,10.0
C de Grandhomme,17.0,16.0,2.0,0.0,106.25,A Phillip,1,10,0,0,0,10.0
RRS Cornwall,8.0,8.0,0.0,1.0,100.0,K Pierre,4,18,1,0,3,4.5
,,,,,,KA Pollard,3,26,1,0,1,8.666666666666666
