batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
DP Hughes,8,5,0,0,160.0,JK Lalor,4.0,35.0,1.0,0.0,1.0,8.75
JR Philippe,15,23,1,0,65.21739130434783,MT Renshaw,2.0,15.0,1.0,0.0,0.0,7.5
JM Vince,39,27,3,1,144.44444444444443,Zahir Khan,4.0,24.0,1.0,0.0,0.0,6.0
MC Henriques,20,14,1,1,142.85714285714286,B Laughlin,3.0,30.0,1.0,0.0,2.0,10.0
JC Silk,14,16,1,0,87.5,MJ Swepson,4.0,27.0,2.0,0.0,0.0,6.75
TK Curran,9,7,1,0,128.57142857142858,BCJ Cutting,2.0,23.0,0.0,0.0,1.0,11.5
H Kerr,15,12,0,1,125.0,JA Prestwidge,1.0,6.0,1.0,2.0,0.0,4.0
SA Abbott,22,11,2,1,200.0,,,,,,,
BJ Dwarshuis,12,7,0,1,171.42857142857142,,,,,,,
