batsman,runs,balls,fours,sixes,s/r,bowler,over,runs,wickets,no balls,wides,economy
AT Carey,16,21,0,0,76.19047619047619,TLW Cooper,1.0,13.0,0.0,0.0,0.0,13.0
J Weatherald,71,44,6,3,161.36363636363635,Usman Shinwari,4.0,40.0,1.0,0.0,0.0,10.0
CA Ingram,6,10,1,0,60.0,KW Richardson,4.0,35.0,0.0,1.0,0.0,8.5
MW Short,1,4,0,0,25.0,JD Wildermuth,2.0,20.0,0.0,0.0,0.0,10.0
JW Wells,22,22,1,0,100.0,Mohammad Nabi,3.0,22.0,0.0,0.0,0.0,7.333333333333333
JS Lehmann,2,6,0,0,33.33333333333333,CJ Boyce,4.0,16.0,2.0,0.0,0.0,4.0
MG Neser,13,7,2,0,185.71428571428572,DT Christian,2.0,7.0,1.0,0.0,0.0,3.5
Rashid Khan,21,7,2,2,300.0,,,,,,,
